text,span1,label
been reduced .,"[1, 2]",1
"Probably a case-study approach involving the application of science , and the interaction with other disciplines , would be needed .","[4, 5]",0
"they re , revamped it or whatever .","[3, 4]",0
"The point is that the traditional concepts of intention and recklessness do not , of themselves , appear to be sufficiently well focused to mark out those killings which are the most heinous .","[24, 25]",1
"thing is that you know we were at we , actually we got lost and were asking directions .","[16, 17]",0
Yeah I know .,"[2, 3]",0
"‘ The plant should be relocated because it 's in the wrong place , ’ Llew Smith , the local Euro-MP , told me .","[5, 6]",0
"There are great difficulties in assessing health effects , however , since exposure varies greatly from house to house within small neighbourhoods .","[5, 6]",0
‘ I do seem to recall something about you offering to help me with the party preparations .,"[5, 6]",1
Labour 's Quality Commission would replace the Audit Commission .,"[5, 6]",1
"And leave them , leave with them","[1, 2]",0
Saying that you now ahm replace the bones of crippled fingers,"[9, 10]",1
That wo n't last till ten I 'd rather go and rack .,"[9, 10]",0
"You 've just got to give , you know , we 've put by and we said .","[16, 17]",0
Those two add ?,"[2, 3]",1
Looking at those lists provides interesting reading and bears out the used-car trade 's view that having a lead-only car could prove to be a liability .,"[21, 22]",0
"She did not want to lose Paula , who was one of her best models , but already she was enjoying the reflected glory that came from having personally trained a house model for one of the great London couture houses .","[22, 23]",1
"Here , then , is a familiar operations research network problem : all roads have to be traversed such that the journey length/time is a minimum .","[17, 18]",0
Suddenly it grew small and poky .,"[2, 3]",0
"Some novice gardeners may not want to do much actual gardening at all , but conversely , do not want to look out every day over a scene of threadbare grass and rotting fence .","[21, 22]",0
"In this chapter some of the ways in which palaeontologists determine the way fossil animals lived are described , reanimating the dead fragments to build up a living creature .","[15, 16]",0
"Anyway , erm we went to the Polly had n't seen them in the shops anywhere and went to Caerphilly market on Saturday morning and as we were coming from it he said look there 's a shirt you want for Robert there .","[33, 34]",0
"Well , did Andy want a boy ?","[4, 5]",0
"The objections would be reduced if awareness of the risk of death was also required : in other words , if the test were the commission of a serious offence of violence plus recklessness as to death .","[4, 5]",1
"And he said er , no , he said I did n't think I had he said , but now , he said I realized that how I , was forgetting er I 'd be talking and I 'd forget sort of what I was just talking about that split second .","[16, 17]",0
The ‘ conversion ’ of the UK government has been briefly described earlier ; it is manifested in their July 1989 commitment to spend £10m. on climate change research in 1989/90 and the confident request to them from the Advisory Board for the Research Councils ( ABRC ) for an extra £11m. in 1990 and £13m. in the two succeeding years for additional environmental research .,"[59, 60]",0
‘ I have prepared the lunch . ’,"[3, 4]",0
