text,span1,label
"Nearly four - fifths of this increase would be absorbed by the rising cost of Social Security benefits and the cost of keeping outlays for defense and education even with inflation , as Mr. Bush has proposed","[9, 10]",literal
"Last year , Mexico claimed that the equivalent of 6 , 200 acres of poppies were destroyed , up from 5 , 900 acres the previous year","[16, 17]",literal
"India has a population of 800 million people , and Indians drink about 2.4 billion bottles of name - brand soft drinks a year","[11, 12]",nonliteral
Now more brick has been knocked off .,"[5, 6]",literal
"Camille 's father , Wolfy , former winner of the Indianapolis 500 , is driven to drink by the exploits of his ex - wife Rose , author of a feminist denunciation of the Daleys and the host of her own talk show","[16, 17]",literal
"`` If AT & T stepped back and looked at it , the place for them to make money is in licensing and controlling Unix , then networking everything under it .","[5, 6]",literal
"Tim Thiele , a Saskatchewan area manager for Ducks Unlimited , a conservation group , said thousands of small ponds where ducks nest and breed have evaporated","[26, 27]",literal
"The $ 321 million Merrill Lynch Pacific Fund has ridden the rising wave of the Tokyo stock market this year , propping its Japanese holdings to about 80 % of the portfolio","[9, 10]",nonliteral
"If only employees would learn to `` prioritize and organize , '' corporate executives often argue , then tardy reports , missed deadlines and frantic late nights would disappear","[21, 22]",literal
"The U.S. is stumbling toward another energy crisis thanks to public policies that discourage utilities from investing in new electric generating facilities , particularly nuclear ones","[3, 4]",nonliteral
But union leaders see hard - won national labor packages jeopardized by new competition for jobs as trade and capital controls dissolve and Europe 's 44 million union members become a common labor pool with widely divergent interests,"[21, 22]",literal
"A merger , though , would lay the matter to rest","[10, 11]",nonliteral
We escaped from Vietnam on foot,"[1, 2]",literal
"The offers touched 17 dollars a share , twice the market value then , but the Keswicks did n't budge","[2, 3]",nonliteral
"The opening salvo came on Memorial Day , when the Guard kicked off a celebration of its 75th year at Camp Grayling","[11, 12]",nonliteral
ERG Resources Inc. said Australia 's Giant Resources Ltd. agreed to lend the company 43 million Canadian dollars - LRB - US $ 35.5 million - RRB - and provide security for a C $ 60 million gold loan planned by ERG,"[11, 12]",literal
"In addition , Colgate concedes that Fab 1 Shot has `` minor '' problems dissolving in cold water","[14, 15]",literal
"For off - duty shifts , the Air Force is starting to build concrete dugouts for about 80 persons , where one takes off the chem suit and rests on a cot","[28, 29]",nonliteral
"At Russell Field here he is besieged for autographs and his ears are bent relentlessly by people , mostly older ones , who want to share baseball memories","[6, 7]",nonliteral
"To escape a heavy debt burden and to finance an ambitious movie schedule , cash - starved MGM UA Communications Co. is expected to sell off its Metro - Goldwyn - Mayer Pictures unit to three investors and the public , industry people said","[1, 2]",nonliteral
"`` All last night , we did n't sleep , dreaming of your visit , '' says Larisa Pohilko , an English - speaking schoolteacher , who is our guide","[8, 9]",nonliteral
"Israeli soldiers attacked a group of Arab guerrillas who had entered Israel from Lebanon , and two soldiers and three guerrillas were killed","[2, 3]",literal
"Meanwhile , some state legislatures pass new laws as quickly as judges knock down existing ones","[12, 13]",nonliteral
`` The other option is that the authorities will have to cool off the economy .,"[11, 12]",nonliteral
"On Friday , an analyst at another major commodity firm said he expects no more than 60 million acres to be planted to soybeans","[21, 22]",literal
"It 's true that the agency has permitted a rise in the Fed funds rate , the fee charged on reserves banks lend to one another","[22, 23]",literal
