text,span1,label
"You rally , you stand up and face it .","[4, 5]",1
"When my Helen comes , she 's got ta pay","[3, 4]",0
but when you come and sit here at night,"[3, 4]",0
No point at all sitting round looking at each other .,"[5, 6]",0
"However , this fails to acknowledge a fundamental axiom of social work practice ; namely that language not only reflects but also shapes social reality .","[8, 9]",0
"In his characteristic phrase , "" I am their leader , I must follow them "" — but he determined to follow them from the front .","[2, 3]",0
"She ate placidly , acknowledging to herself with her customary good sense that at the moment , as at any time since her brother William had died , she and Penelope were getting no pleasure at all from each other 's company .","[34, 35]",0
Weekend Garden Page 43,"[1, 2]",0
"Our goal is solely to establish whether , in a practical ensemble torn apart by antagonism ( whether there are multiple conflicts or whether they are reduced to one ) the breaks themselves are totalizing and carried along by the totalizing movement of the ensemble .","[1, 2]",1
Women philosophers are in a special position to consider such questions for in the image of the philosopher 's child they see themselves .,"[6, 7]",1
"Marxism is rigorously true if History is totalization ; it is not so any more if human history decomposes into a plurality of particular histories , or if , in any case , within the relationship of immanence that characterizes struggle , the negation of each adversary by the other is on principle detotalizing .","[18, 19]",1
"This means that first , they lead to results , and second , that the internal structure of social objects contains ‘ the double negation of themselves and of each constituent part by the other ’ ( II , 22 ) .","[6, 7]",1
"They may have to be read in the open air , in rain and darkness or within a plant under oily , cramped , poorly lit conditions .","[18, 19]",1
"Just got the urge , that 's all . ’","[1, 2]",1
"Well it 's good good , got a well lagged tank .","[4, 5]",0
"Furthermore , these girls will tend to go into a career with a feminine image , one which already attracts many girls .","[14, 15]",1
"Sick at heart , she wept .","[5, 6]",0
"Equally , the ‘ signposting ’ role now being adopted by UNEP 's GRID project — which is expected to offer on-line access to a catalogue of environmental data sets and details of the responsible agencies in 1991 — is to be welcomed .","[9, 10]",0
"A large number of boys , particularly at the foreclosure stage , are initially attracted to science but there is a drift away throughout later adolescence as they undergo some crisis .","[14, 15]",1
You 're going to an awful lot of trouble for me love .,"[11, 12]",0
In the car let's do a gap Christopher,"[7, 8]",0
"This , of course , is the classic transportation problem and its solution is well known .","[3, 4]",0
"In the eyes of the faithful , these ‘ Brabanters ’ , with their freebooting and lack of discipline after the end of campaigns , were as dangerous as heretics ; in 1171 Frederick Barbarossa and Louis VII agreed to expel them from their lands .","[21, 22]",1
"Furthermore , British Rail has its eyes on the Bankside site for bringing up the spoil from the tunnel for Channel traffic which it is , so absurdly , driving under the middle of London at astronomical cost .","[18, 19]",0
A standard fault is to assume that the reader is familiar with the jargon which the designer habitually uses .,"[1, 2]",0
"Allocation determines which arcs in the network will be allocated to a particular node or centre ; districting makes it possible to outline rapidly sets of polygons in order to define specific areas of interest ( districts ) and to summarize their characteristics ; routeing provides a minimum path algorithm through the network , the arcs of which can be assigned weights according to road conditions , road capacity and so on .","[68, 69]",0
"The Conservative manifesto contained a commitment to increase , year by year , the level of ‘ real resources ’ committed to the NHS — though it put no figure on the extra money to be allocated .","[3, 4]",1
"The preponderance of boys at the foreclosure stage will yield the rigid , authoritarian attitudes often associated with scientists .","[11, 12]",1
"At the very least , the CEGB should be divided into a wider range of generating companies to stimulate competition .","[13, 14]",1
I 'm doing it a funny way this time .,"[6, 7]",1
Some further evidence has come from our use of sentence completion tests with secondary-school pupils as part of our research programme at Chelsea .,"[4, 5]",1
"The government denies this , but has published the text of a letter from its Political Adviser to the New China News Agency ( Beijing 's embassy in Hong Kong ) suggesting that it did .","[19, 20]",0
"Campbell 's hard-working side are still trying to sort out their system , which involves a spare defender and , as far as one can see , a good deal of improvisation .","[3, 4]",1
His speech struck me as the feeblest of the day .,"[2, 3]",1
"But the villages are dying , becoming suburbs or dormitories where few people work but many sleep .","[4, 5]",1
"In its place would be a sentencing discretion , which judges would use , in many cases , to mark the relative heinousness of the murder by a determinate prison sentence .","[10, 11]",0
"They prepared chicken pies , the pastry as light as Ruth 's heart , turtle soup , a haunch of venison , jellies , blancmanges , syllabubs , trifles , and a host of other dishes , with still more to be done on the day of the party itself .","[10, 11]",1
"He makes a firm proposal that the age of majority should be gradually reduced to 10 years , and remarks :","[3, 4]",1
"Yet it consolidated the king 's position within France , partly through the skilled regency of Suger , but also because , in taking on himself the leadership of the expedition , Louis re-emerged as a credible ruler of men .","[33, 34]",1
Cos it 's flowers and things .,"[0, 1]",0
"So I , I think really , and I think what I think with him , I think definitely I think it must be the private scheme and plus that his own family , it runs in the family .","[26, 27]",0
"It was the conditions of deprivation and despair in the decaying areas of our old cities — areas in which the Brixton and Toxteth riots took place , and areas from which the skinhead invaders of Southall come .","[26, 27]",1
It was a magnificent fightback and such was Welsh distress that they never looked like preventing it .,"[12, 13]",0
You also grew up watching Grandfather 's clients literally get away with murder . ’,"[9, 10]",1
"Walks into the bedroom , well you would have hardly got the bed in there never mind about anything else .","[12, 13]",0
The 1990s have witnessed a shift in the art establishment 's attitudes towards art produced outside of its traditional parameters .,"[14, 15]",0
"all the jobs , he said I do n't want to learn them I 've come to supervise , he said I do n't wan na get mucky !","[27, 28]",0
Ripping yarns and moral minefields : Allan and Janet talk Ahlberg talk to Celia Dodd about their bestsellers for children,"[3, 4]",1
And I 'm not prepared to go on paying three thousand a year renting it to give to him when I could be buying one myself .,"[4, 5]",1
"The predominance of males , particularly in the physical sciences and engineering , throughout the Western world can no longer be satisfactorily attributed to cognitive differences , which are too small , nor to institutional factors .","[30, 31]",1
"After they reached two thousand feet , the instructor showed her how to fly level ; he then encouraged her to experiment with the stick , manoeuvring the plane m every direction .","[8, 9]",0
"The dissemination of information in the event of an incident is dealt with at three levels : the first is the normal system of press notices ; the second is the use of teletext and viewdata ( Ceefax and Prestel ) to get direct to members of the public at their homes or places of work ; the third is the use of Telecom Gold electronic mail to get more technical details to various official bodies , such as water authorities ( Jackson 1989 ) .","[71, 72]",0
It was a fair achievement in a town which an earlier observer described as ‘ 44 hovels ’ .,"[16, 17]",0
‘ Do n't worry .,"[3, 4]",1
"Finally the checklist may have reprographic limitations such as inadequate vertical or horizontal structure , poor typefaces and insufficient linking of requirements , descriptions , remarks and tick-off points .","[13, 14]",1
"In taking his place at the head of the Second Crusade , the Rex Francorum decisively hastened the transformation of the Franks into the French .","[9, 10]",0
No I can manage on my own thank you .,"[3, 4]",1
‘ I think we should go . ’,"[5, 6]",0
Yeah when er all which is on now is the blue button .,"[11, 12]",0
"Ruth fetched and carried and stirred and whipped , praying every moment that Joss Barnet would return before they left Millfield next day .","[22, 23]",0
"Anyway , erm we went to the Polly had n't seen them in the shops anywhere and went to Caerphilly market on Saturday morning and as we were coming from it he said look there 's a shirt you want for Robert there .","[19, 20]",0
"Sir George Robey 240 Seven Sisters Rd N4 ( 263 4581 ) Named after an old musical hero , located opposite the old Rainbow , the venerable old rock institution which is now home to a religious sect .","[15, 16]",0
If the person in default fails to comply with an abatement notice the local authority is obliged to make a complaint to the magistrates .,"[14, 15]",0
it 's it 's legally bigger than the Empire but the Empire can get more people in cos he 's got upstairs and,"[11, 12]",0
"In May 1989 Elle magazine ran a 16 page feature on Frida Kahlo as the ‘ spirit of Mexico ’ ( Fig. 1 ) , while in Vogue ( Feb. 1990 ) there was a 10 page interpretation of ‘ the romance of Frida Kahlo 's Mexico ’ ( Fig. 2 ) .","[9, 10]",0
"I WRITE in response to Judith Raymont ( November 16 ) who wrote of the cartoon Men — A User 's Guide , ‘ It is either insulting to men and should not be endorsed by publication , or it is witty and amusing , in which case we , as women , have no right to complain about equivalent portrayals of female stereotypes . ’","[15, 16]",0
"‘ We want everyone to be licensed , but the Government did n't think it necessary .","[13, 14]",1
"Anyway , so erm he said , but you know he was saying to them that er , it 's not just at the bottom end , he said , in our village in Wales we 've got the Sun have now positioned two reporters who have lived in the village the these they sit in a car outside his house day and night","[57, 58]",0
"But calculations of the total carbon released by fossil fuel combustion imply that , if all such carbon remained in the atmosphere , the concentration would have increased by twice as much .","[4, 5]",0
"The scope was extended in an ‘ enhanced ’ Urban Programme , which included economic and environmental as well as social projects , and was specifically directed at the inner urban areas where the problems were most severe .","[26, 27]",1
"So Lewis did not say , even to himself , when he was privately considering trying to get hold of his son in Tenerife , that he disliked Adam and would have been pleased to spoil his holiday .","[13, 14]",1
"Five hundred pound for carpets , leaves four hundred pound , two hundred pound for suite and the microwave","[6, 7]",1
"Most trilobites were broadly oval-shaped being rather longer than wide , not greatly convex , and with eyes that occupy perhaps a quarter of the length of the head .","[13, 14]",0
"Early research at the NWRRL focused on developing a GIS for use by the police and county emergency planning officers in Cumbria that would aid in the management of a possible explosion at a chemical factory in Whitehaven , west Cumbria ( Vincent et al. 1988 ; Dunn 1989 ) .","[39, 40]",0
By the time Vidal Sassoon had finished with her Paula 's long fair locks had been shorn to a sharp geometric shape and she scarcely recognised the reflection that looked back at her from the mirror .,"[29, 30]",1
"Probation orders which are combined with constructive , disciplined and effective programmes of supervision are increasingly being used for offenders who stand to receive custodial sentences ( 1990b , p. 35 ) .","[1, 2]",1
The concept of the singular universal thus facilitates a circularity in the argument whereby Sartre can avoid the question which he began by posing .,"[4, 5]",0
It is also to be found in stronger or weaker versions of more cautious academic thought .,"[7, 8]",1
"As far as we know the microcomputer-based emergency response system devised by Belardo et al. ( 1983 ) , is the only GIS-like software to incorporate this algorithm .","[27, 28]",0
"The problem with assessing the influence of parental and family dimensions , such as weak supervision or parental criminality , is the fact that they are closely linked to various aspects of social and economic disadvantage , such as poverty , overcrowding and poor housing .","[3, 4]",1
"Outside Flanders , Robert 's sister 's marriage to Roger of Sicily was a mark of his new position in the world ; like Louis VI 's sister 's marriage to Bohemond of Antioch , it stretched French kinship connections into the new Norman colonies , ensuring that travellers from the homeland would find a welcome in those distant parts .","[46, 47]",0
"In a desperately competitive climate , where anyone bright and competent could go down the road and pick up a better paid job with kinder hours and more congenial working conditions from someone like British Telecom , the railways ran a service dependent on people who belonged to a narrow and inbred working culture , with outdated procedures of training and promotion , and an institutional reliance on overtime working , whose wholly disgraceful dimensions are symbolised by the fact that maximum weekly hours were only recently cut to 72 hours a week .","[17, 18]",1
Training of unskilled staff to operate this equipment and to exploit the scientific data is now a major role for GRID staff .,"[20, 21]",0
"The final interview entails a personalized review of the course , as well as the formulation of a follow-up plan to be undertaken with the offender 's supervising officer .","[19, 20]",1
"‘ I never see how they get the sales per square foot in these places , ’ Barton observed , without further greeting .","[6, 7]",1
"Alright , I can open this up , I got the little box , there you are , just a minute and , oh Charlotte , oh you are a menace , there you are , now you be quiet for a minute will you ?","[30, 31]",1
"He chewed his thumbnail as he walked , out of long experience keeping in mind the highest priorities : Ensure Body Not Moved and Ensure Next of Kin Notified before the Press got the story .","[31, 32]",0
This fossil bark is typified by its lozenge-shaped leaf scars arranged in spiral rows .,"[12, 13]",0
"For therapeutic and professional staff to reflect the cultural backgrounds of the children , and that for all children , including those with special needs , their day-care environment and activities to express a consciousness of the multicultural society in Islington .","[12, 13]",0
"Let puritans and pessimists damn , disapprove or dismiss these appetites ; that is their loss .","[15, 16]",1
"Wales 's instant reaction , a try by Arthur Emyr , and subsequent steady improvement , bringing well-crafted tries for Emyr and Robert Jones , promised more than was later fulfilled .","[12, 13]",0
"‘ It will always be the case that the holder of my office will need to fight the corner of the health service and there will always , inevitably , be more than we can do . ’","[22, 23]",0
Tell him that I am very sorry but I can not make exceptions .,"[0, 1]",0
"The summer 's sprawl begins to be oppressive at this stage in the year and trigger fingers are itching to snip back overgrown mallows , clear out the mildewing foliage of golden rod and reduce the overpowering bulk of bullyboy ground cover .","[36, 37]",1
"The science boys seemed to possess few doubts or uncertainties , they offered clear-cut answers .","[9, 10]",0
"It was made clear that all of the above areas needed funding from health , education and social services before they could be implemented .","[17, 18]",0
We honour the Masai above all people . ’,"[1, 2]",0
"Indeed , working directly with consultants proves invaluable in gaining access to high-quality morbidity data .","[12, 13]",1
"In contrast , the advocates of chaos theory ( e.g. Stewart 1989 ) argue that some natural systems are so sensitive to tiny stimuli that even ‘ the faint beat of a butterfly 's wing could be the ultimate trigger for a hurricane ’ .","[13, 14]",0
You crafty cow !,"[2, 3]",1
"but er I do n't know , if you like it see what I mean ?","[11, 12]",1
"For example , difficulties of communications and in particular , how to inculcate the feeling within each individual that he and his performance are important to the organisation .","[14, 15]",1
"He adjusts the flaps , zips up his jacket , pulls down his goggles .","[13, 14]",0
"Therefore it was Adam 's duty to come home and face the music , even though this might be no more than a short blast on a tin whistle .","[27, 28]",1
He had not prayed for Ann Maguire .,"[5, 6]",0
"‘ Take care , ’ said Rufus , and not looking back any more than he had done when they returned from the cemetery , drove off round the town he had got to know so well , over the Stour bridge , into Essex , heading for Halstead and Dunmow and Ongar and London .","[36, 37]",0
The supposedly jokey answers are illustrated by photographs of people sleeping outside covered by copies of The Independent : they look like some of the hundreds of visitors who come to St Botolph 's Crypt Centre for homeless people every day .,"[37, 38]",1
Interwoven with these images are subtler references to the metaphorical borderlines which separate Latin American culture from that of Europe and North America .,"[19, 20]",0
"Buzz said , ‘ But surely … ’","[0, 1]",0
"It was now light , the lamps on the gangway giving murky yellow pools that barely pushed back the inky blackness of a starless night .","[10, 11]",1
"Yeah , we pay all the year round for that do n't we and that 's all we bloody get out of it .","[3, 4]",0
He did not loosen his links with the athletes when projected upwards into the Presidency .,"[5, 6]",1
"We 're in town , just in town does n't matter where we go , does it ?","[13, 14]",0
She 's going now and gon na leave me this old crap on the table ! .,"[10, 11]",1
A useful research exercise would be to compare the use of census and PAC data in deriving quantitative risk assessments and this is an interesting research problem .,"[25, 26]",0
