text,span1,label
"""No esculcaré el cajón "" del gobierno anterior","[3, 4]",Metaphor
"Los coixcas pasaron a formar parte de la provincia tributaria de Tepecoacuilco, pagando tributo que consistía en ocelotes, águilas, oro en polvo, hachuelas de cobre, maíz, fríjol, chía, mantas comunes y mantas ricas y colchadas, copal refinado y sin refinar, miel de abejas y otros productos de la región; además, constituían el resguardo fronterizo entre los dominios de la Triple Alianza y los del jamás conquistado señorío de Yopitzingo.","[52, 53]",Non-metaphor
"Desde entonces, la alternancia de gobiernos se ha dado mediante procesos electorales, lo que ha llevado a afirmar, en los círculos oficiales, que ""la democracia se ha consolidado "".","[27, 28]",Metaphor
"De acuerdo con la organización que trata de medir las condiciones que ofrecen las economías a los inversionistas, México padece de una reglamentación absurda y de una alta burocracia parasitaria excesiva, así como de","[29, 30]",Metaphor
"Las cifras oficiales en torno al programa Oportunidades, la nueva y “exitosa estrategia” gubernamental que emprendió la administración Fox para erradicar la pobreza extrema , plantean un beneficio en “favor de casi 21 millones de mexicanos”, y tiene un alcance, de acuerdo con las proyecciones burocráticas, de beneficiar a 25 millones en el presente año.","[20, 21]",Metaphor
"Les condonó asimismo el pago de gabelas durante diez años, pero quedando sujetos al señorío tonalteca.","[4, 5]",Non-metaphor
El resto del dinero se desvanece entre alimentos fríos y la renta mensual de ochocientos pesos.,"[1, 2]",Non-metaphor
"Nadie se explica de que modo Grace Coolidge se comunicaba con su esposo, Calvin Coolidge, considerado el más lacónico de los políticos norteamericanos de todos los tiempos.","[18, 19]",Non-metaphor
"De verdad que esto es el colmo, este es el pais de todo lo puede hacer el PAN, no se de que democracia y legalidad habla el presidente, o bueno que empieze por quitar los letreritos de que no se pueden usar los programas fedelaes para promoción de personas o partidos o ponga (solo el PAN lo puede hacer), es obvio que las reformas del IFE estan amañadas para los partidos en que ya nadie puede creer.","[25, 26]",Non-metaphor
"trabajo que tiene como base a la fragmentación y rigidez de la burocracia industrial , ...","[13, 14]",Metaphor
"odio que la gente no cumpla lo que promete odio la burocracia de este pais odio a george bush odio este tema, uds no?","[9, 10]",Metaphor
