text,span1,label
"They are based on the idea that criminal behaviour is either inherited or a consequence of unique , individual experiences .","[11, 12]",1
"‘ A letter dropped through the post from the President of the Socialist Republic of Montenegro , inviting me to the funeral , ’ said John Kennedy , a Conservative Party member who lives in Barking and is a distant relative of Nicholas .","[33, 34]",0
Approximately three times as many boys as girls take O level physics and approximately four times as many take CSE physics .,"[18, 19]",1
"Some of the refugees had been living in Polish exile for as long as seven weeks , while others arrived only a few hours before West German diplomats announced they could leave .","[19, 20]",0
"And he concludes , ‘ of all the warnings that the inner city has to offer for the direction British society is taking , this is perhaps the most sinister ’ .","[2, 3]",0
"Though there was a lot to do , Clare , busy redecorating the shop and visiting wholesalers to buy stock , still managed to work one evening a week for the Movement .","[22, 23]",1
"Then as the minutes passed and there was no sign of him , she considered that perhaps he had overslept .","[14, 15]",1
"This , of course , is a popular subject : it seems particularly attractive to the poet-turned-novelist because of the scope it offers for the tremulously sensitive probing of feelings .","[11, 12]",0
It would provide the multitudinous popular committees and activities with a more advanced form of organisation and structure .,"[2, 3]",0
"He was also carrying an orange poster on a pole , urging a vote for the local Liberal Democrat candidate .","[11, 12]",1
"Why I 've been , it will be ten months that 's all Rita , ten month it took me to lose six stone , you do n't want to lose that much do you ?","[21, 22]",1
"Contrast this with the position in jurisdictions where there are three or more degrees of homicide : pleas of guilty to first- and second-degree murders would be less frequent , since there would be the possibility of argument in court ( if no bargain was struck beforehand between prosecution and defence ) , and the defence might succeed in persuading the jury to reduce the degree of the killing .","[57, 58]",1
"Well , maybe they do , but making any old noises is clearly not sufficient to enter the rationality stakes ; I must at least say something .","[25, 26]",1
"At least you keep in touch , some of them get shoved away and they never , nobody do n't bother with them do they ?","[10, 11]",0
She was n't touched .,"[3, 4]",0
Same on the adds .,"[3, 4]",1
"They held their line and competed hard in midfield , damping down Oldham 's initial verve and preparing themselves for more of the same in the second half .","[17, 18]",1
Those not involved find it difficult to gain very much from a presentation of a task description .,"[3, 4]",1
"Probably a squirrel , he decided , and slithered down the side of the embankment to join her , scolding as he went .","[8, 9]",1
"Or had his horse gone lame , cast a shoe ?","[4, 5]",0
""" One for you , "" said Frederica to Alexander , still skimming the necessary accompanying print .","[12, 13]",1
"Now why , what made them take it to the stage","[6, 7]",1
And just get the tested like me and your dad did .,"[2, 3]",1
Buzz said .,"[1, 2]",0
North Tyneside council says it is too starved of funds by central government to do much .,"[3, 4]",1
Int it ?,"[0, 1]",0
"In parliament he was wont to abandon an argument half-completed if he sensed that his point had been made ; the speeches that appear in Hansard were touched up by his staff , and his speeches in the country were given to the press in advance .","[23, 24]",1
"In 1985 the management of Somerset Probation Service was faced with the fact that nearly one in three of the offenders supervised in their area were either known to be or suspected of misusing alcohol ( Singer , 1985 ) .","[9, 10]",1
"Further afield , we need to recognize that some disasters ( most obviously Chernobyl ) will have implications for more than one country so that environmental monitoring should take place with some kind of international co-ordination .","[28, 29]",1
"And if he could remember where the shop was , he 'd go back and sue the bastards .","[12, 13]",0
"The physical sciences in particular , offer a conventional career choice which is likely to win approval from parents , teachers and peers .","[6, 7]",1
turn them off,"[0, 1]",0
"Fifty miles north , Sarah Morgan had just finished serving a lunch that no one had done more than pick at .","[9, 10]",0
Oh you had better stop,"[4, 5]",0
I would pick up the phone and phone my solicitor and ask to come and see him and get his advice .,"[13, 14]",0
"Like most of the other contributors to this section , Gatrell and Vincent see decision support systems as a major area for future development in the geographic information management field .","[13, 14]",0
You ai n't likely to pick up Prince Charming in a bar . ’,"[1, 2]",0
"The degeneration occurs , not because men are congenitally or even incorrigibly narrow , libertine , isolated or selfish , but because in defining themselves as autonomous beings in opposition to other human beings they have had to seek what separates them as a group from others .","[40, 41]",1
"Rationality turns into narrow intellectualism , freedom into licence , independence into isolationism , dignity into selfish pride ; the autonomous human being turns out to be no more than a social atom after all .","[23, 24]",1
"‘ Not particularly well , I imagine .","[6, 7]",0
"And leave them , leave with them","[4, 5]",0
From the optical properties of this mineral we know that the lens was able to interpret light coming from a direction more or less at right-angles to the lens surface .,"[17, 18]",1
"Another of his blinding headaches had developed and he felt a tight sensation in his chest , which made breathing very painful and difficult .","[6, 7]",0
"Sweetman drew on his fancy cigarette , then blew a plume of smoke into Wavebreaker 's rigging before smiling lazily at Ellen .","[1, 2]",1
"Thing is do n't you find in in this sort of environment if you 've got , you know if they 're nice people you all communicate do n't you ?","[26, 27]",0
"In contrast , boys seem to have a firmer self-identity and a clearer ambition showing more insight in response to sentence stems such as ‘ My main problem is … ’ and ‘ He/she felt proud that … ’ .","[14, 15]",1
Coming back here after tea .,"[0, 1]",0
What time of day do you think you call this !,"[8, 9]",1
"Plus a backdrop of houses covering the valley walls on either side , a reminder that wherever industrialised societies decide to deal with their most intractable problems , they are unlikely to find a place to do so which is not in somebody 's back yard .","[19, 20]",1
"But the ring disbanded , once more because of Stalin 's penchant for secrecy , after Moscow tried to bypass Roessler and go direct to his Number Two . ’","[19, 20]",1
they 're treating alcohol as food .,"[2, 3]",1
In the UK we seem to be lagging well behind the USA in the construction of databases on hazardous sites and especially hazard events such as those involving toxic releases .,"[27, 28]",0
The analyses carried out are often arcane in detail to all but a small group of ‘ high priests ’ ;,"[2, 3]",0
The third section looks at the faltering progress towards integrated services .,"[3, 4]",1
well he told me when I claimed,"[6, 7]",1
"He finds out what the needs of the business are , and prescribes the cure .","[12, 13]",1
But she was determined Madame should not be aware of either .,"[3, 4]",0
"He sees them as not only strengthening small communities , but also as actually beginning to reverse the population flows from the countryside to the towns .","[6, 7]",1
Parliament should give fresh thought to enacting a provision placing an obligation upon a council tenant to give notice to the council before being permitted to commence proceedings .,"[6, 7]",1
"when she was only a second year therefore that means , she 's not given enough work , but I mean","[9, 10]",1
"Data to be published shortly draws on experiments including observations of Freddy , the dolphin that has been living off the Northumbrian coast for four years .","[5, 6]",0
"They were tremendous , and outplayed us in the first half .","[5, 6]",0
One of the advantages of a religious education is the ability to identify at least the better-known texts of scripture and this was one which it needed no effort of memory to recall .,"[32, 33]",1
I 'm gon na play with that and see what,"[8, 9]",1
Its continued presence always surprised him since it served no purpose that he could see except symbolically to cut off the headland and to give travellers pause to consider whether they really wanted to continue .,"[34, 35]",0
"But this argument will seem less persuasive when we have discussed cases of manslaughter by reason of diminished responsibility : where a murder is reduced to manslaughter , the judge has a wide sentencing discretion and may , according to the facts of the case , select a determinate prison sentence , a hospital order , or life imprisonment .","[10, 11]",1
"Villages are expensive to live in and if they are to become vibrant communities again , local people must be able to earn enough to be able to continue living in them .","[29, 30]",0
"Female exclusion from science and technology , even if it is apparently by girls ' own choice , also means that as citizens their ability to understand and control their environment is limited .","[28, 29]",1
Aunt Margaret is coming at ten . ’,"[3, 4]",0
The radio reported that the missing H-bomb had been located on the Atlantic seabed .,"[2, 3]",1
So there 's a lot of people walking about with just taking bloody tablets who probably really should have a bypass .,"[7, 8]",0
It is important that participants are provided with the skills to reduce their drinking levels or handle more effectively ‘ pub centred ’ problems .,"[11, 12]",1
"Right , just , she said she 's going to be head of department , it starts at ten OK , so she 'll be ahead of herself , then as she 'll be responsible for getting staff said she still has n't , got she said , little love","[36, 37]",1
Mind I saw them in tt they were the same price in erm You Ca n't Go Wrong and tt the place opposite Woolworths in Caerphilly,"[0, 1]",0
This is done by finding areas of high rainfall and parishes with high sheep populations .,"[4, 5]",0
The two companies concerned are trying to record the spoken word .,"[3, 4]",1
This assumes that nature only manufactures efficient designs .,"[5, 6]",1
"Just think of it , a man of his talent and ability stooging around the media . ’","[12, 13]",1
The findings of the analysis are summarized in two sets of research questions for all applications fields .,"[6, 7]",0
"Over against the German army or the Vichy government , where social generality ruled , as it does in all machines of state , the Resistance offered the rare phenomenon of historical action which remained personal .","[13, 14]",1
One of these whipped back at him and as he caught at it a thorn drove into the fleshy pad of his finger .,"[3, 4]",1
In describing its vision of effective supervision the White Paper goes on to note :,"[13, 14]",1
"Mr Cook argued that 10 years of Thatcherism had been forced on most people , who had never voted Conservative , and that many of those who opposed PR in the Labour Party wanted to use the same undemocratic power ‘ to ram socialism down the throats of a majority who did n't vote for it ’ .","[10, 11]",1
"‘ Do n't leave me , ’ she begged .","[8, 9]",0
And you 've got the heater here over in the corner as well so it 's gon na,"[3, 4]",0
"and the rain came down and floods came up , the rain came down and the floods came up , the rain came down and the floods came up and the house on his band fell flat","[17, 18]",0
"So I said , twentieth of March .","[2, 3]",0
Seven add seven add seven is twenty one,"[3, 4]",1
‘ No thank you Millie .,"[2, 3]",0
"‘ If one of my patients wants to give up a potentially curative treatment in favour of an alternative therapy , then I will try to dissuade them .","[24, 25]",0
She turns to Fairfax .,"[1, 2]",0
"All in oh come on , get yourself organised book yourself in and","[8, 9]",0
"As a consequence an underclass was evolving — football hooligans , muggers , inner city rioters — somewhat more frightening than their Dickensian forebears because they were mobile and all too visible .","[6, 7]",1
"While the first wave of popular interest arose with the 1982 Whitechapel exhibition instigated by Laura Mulvey and Peter Wollen , it was the publication of Hayden Herrera 's biography of Kahlo in 1983 which has led to her current cult status .","[7, 8]",1
"But seen face to face , even in the informality of her own house , the absence of a spark of sexuality and , he sensed , a deep-seated reserve , made her seem less feminine and more formidable than he had expected , and she held herself stiffly as if repelling invaders of her personal space .","[19, 20]",1
"To suggest it , that is the dream . ""","[1, 2]",1
"The youth … is capable of having principles ; his religious and moral ideas can be cultivated , and he is able to attend to his own refinement .","[16, 17]",1
Oh Charlotte will you pick up your feet .,"[4, 5]",0
"Nell pulled it off , got close to the door , and shouted .","[5, 6]",0
"He was scragged by Mike Budd , Jeremy Cooper came away with the ball , Owain Williams acted as the link , and Kevin Ellis scored : three back-row forwards and their scrum-half in perfect harmony .","[25, 26]",1
"Frederica dipped round her to stare : Claude Monet : "" Au Cap d'Antibes par vent de mistral "" .","[15, 16]",0
"One Afro-Caribbean woman described how she felt that she was never given a choice of provision for her son , and objected to being told he should be in a specialist nursery for his own good .","[24, 25]",0
"Donations can be made to the Dolphin Research Project c/o Windsor Safari Park , Windsor , Berkshire SL4 4AY .","[3, 4]",1
Well why did he say to me he wanted a girl ?,"[4, 5]",0
"It was initiated partly in response to the furore caused by Enoch Powell 's 1969 ‘ rivers of blood ’ speech , much as disturbances at the 1976 Notting Hill Carnival prompted further steps on the part of the Department of the Environment — ‘ A riot makes a much bigger impact on government thinking ’ , as Donnison ( 1987 ) has pointed out , ‘ than any amount of earnest and accurate research ’ .","[47, 48]",1
Well I shall see to that .,"[3, 4]",1
That wo n't last till ten I 'd rather go and rack .,"[9, 10]",0
"Olives , Frederica agreed with Alexander , could not recall the Mount of Olives , the Garden of Gethsemane , in the day of Van Gogh the pastor 's son , the lay preacher .","[3, 4]",0
"hang about , you see what it says here oh you do n't play that one , just the something for you to write underneath , I thought it was complicated","[0, 1]",0
"I explained all that to Chatterton , but stressed that we would run for cover at the first sign of trouble .","[8, 9]",1
That 's not your regulations you have to read is it ?,"[8, 9]",0
One of these whipped back at him and as he caught at it a thorn drove into the fleshy pad of his finger .,"[15, 16]",1
You can not kill a man deliberately . ’,"[3, 4]",0
"Drawing on North American experience , the Commission concluded that ‘ poor management was an important contributory factor to New York 's problems ’ , and sought to apply the same lessons here ( p. 2 ) .","[28, 29]",1
The review had made no mention of children with special needs .,"[3, 4]",1
"‘ Someone from the village , you said , ’ Lewis persisted .","[7, 8]",0
"‘ Well , I told them that , ’ Francis Morgan said irritably and his wife and daughter caught each other 's eye in silent agreement that he had n't told them that Angela was refusing point-black to be married from home and was insisting on the full London set-out , reception at the House of Commons , replying unanswerably when he had objected on grounds of expense that she could well afford to pay for it herself .","[11, 12]",0
"Yes yeah erm no there 's little point just now , go on then she 's thought of something else .","[11, 12]",1
"Save you , save you carrying them .","[0, 1]",1
The Lauriergracht in Amsterdam was gloomed and glittering .,"[5, 6]",0
You know .,"[1, 2]",0
If punishment is assimilated into the probation glossary it will inevitably influence the sort of practice the Service undertakes .,"[3, 4]",1
"Ruth could think of few worse fates , but her stomach lurched at the thought of leaving Millfield .","[11, 12]",1
"His History , therefore , is always in process : but its teleology of a final totalization always has to be assumed .","[21, 22]",1
"Law personally conducted the negotiations with Gardner Sinclair over the sale of the Observer and the Pall Mall Gazette in 1914 ; this negotiation also demonstrates that , as well as producing information and nursing editors , the party had to work hard to keep some of the newspapers in business .","[31, 32]",1
"It was within this kind of environment that chivalry flourished , that young men learned to identify , their vassalage towards their lord as a symbol of their honour , that they debated the relative merits of Roland 's and Oliver 's way of displaying loyalty ; and that they learned the finer points of jousting .","[44, 45]",1
"He come in Saturday , not that he , we 've heard all that before , said that you can get give it a good wash and squeeze it back , that I ca n't put one on now , give me a ring when you 're done","[1, 2]",0
Get the camera out !,"[0, 1]",0
‘ What 's keeping Adam ? ’,"[3, 4]",1
"Neither the Butler Education Act of 1944 , nor the introduction of comprehensive schools , prevented a high proportion of children from under-achieving .","[15, 16]",1
"Because we do not have the legs preserved , it is not possible to see how the mouth appendages functioned in feeding , and neither are the stomach contents preserved .","[14, 15]",0
It was argued in Chapter 2 that the criminal law ought to spread its net wider where the potential harm is greater .,"[2, 3]",0
But they think they can run everything from Detroit and that 's the way the organisation is going to be restructured .,"[17, 18]",0
The view that only ‘ outstanding management ’ could meet the problem was held by the Audit Commission ( 1987 ) .,"[9, 10]",1
See if you want anything up town .,"[3, 4]",0
